Purchasing Household Id,Total Follow Up Orders,Is Oad,Customer Retained,Product Id First Order,product price,Product Price Bucket,2022 Score,2022 score buckets,is gorgeous box,Total Gmv Three Month (PHH_GMV),Product Category,avg_category_price,relation to avg_category_price
4204180,1,false,true,30145.0,79.95,70.0,30.0,30.0,false,173.94,Neapolitan Pizza,116.44952978056425,less
4286731,0,true,false,21647.0,79.95,70.0,43.0,40.0,true,159.9,Stromboli,132.70000000000002,less
4210492,0,true,false,14857.0,129.95,120.0,40.0,40.0,false,99.95,,,
4241189,0,true,false,15504.0,165.95,160.0,50.0,50.0,false,184.95,,,
4281839,0,true,false,32419.0,109.95,100.0,49.0,40.0,true,109.95,,,
4322679,0,true,false,19706.0,85.95,80.0,32.0,30.0,false,115.95,,,
4299292,0,true,false,15190.0,72.95,70.0,43.0,40.0,false,106.95,King Cake,74.9,less
4207911,0,true,false,25093.0,145.95,140.0,39.0,30.0,true,73.35,,,
4217091,0,true,false,31773.0,149.99,140.0,50.0,50.0,false,129.99,Ice Cream Pints,99.95493991989319,more
4228437,0,true,false,27369.0,82.95,80.0,36.0,30.0,false,87.1,,,
4260407,0,true,false,32419.0,109.95,100.0,49.0,40.0,true,99.95,,,
4287021,0,true,false,30951.0,89.95,80.0,51.0,50.0,false,139.95,,,
4331350,0,true,false,26210.0,89.95,80.0,40.0,40.0,true,90.79,,,
4346275,0,true,false,27227.0,83.99,80.0,65.0,60.0,false,188.69,,,
4339761,0,true,false,34180.0,99.95,90.0,46.0,40.0,false,99.95,,,
4226083,0,true,false,24221.0,79.95,70.0,34.0,30.0,false,144.9,Chocolate Covered,60.485625000000006,more
4228323,0,true,false,32419.0,109.95,100.0,49.0,40.0,true,99.95,,,
4255129,0,true,false,32419.0,109.95,100.0,49.0,40.0,true,99.95,,,
4369790,0,true,false,21061.0,87.0,80.0,38.0,30.0,false,282.4,Sandwich Kits,122.9220720720721,less
4228262,0,true,false,15128.0,114.95,110.0,49.0,40.0,false,109.95,,,
4267137,0,true,false,26688.0,125.95,120.0,45.0,40.0,false,109.95,,,
4258406,0,true,false,32419.0,109.95,100.0,49.0,40.0,true,101.95,,,
4192722,0,true,false,25489.0,92.95,90.0,44.0,40.0,false,103.95,Pastas,116.52962025316454,less
4307680,1,false,true,17717.0,99.95,90.0,36.0,30.0,false,520.94,,,
4203277,0,true,false,25052.0,115.0,110.0,32.0,30.0,true,,,,
4235632,0,true,false,20730.0,84.95,80.0,37.0,30.0,false,84.95,,,
4333113,0,true,false,15128.0,114.95,110.0,49.0,40.0,false,109.95,,,
4294168,0,true,false,35596.0,199.95,190.0,34.0,30.0,true,249.95,Soups,93.61987124463519,more
4245657,0,true,false,20900.0,99.95,90.0,27.0,20.0,true,133.7,,,
4273548,0,true,false,32419.0,109.95,100.0,49.0,40.0,true,99.95,,,
4209322,0,true,false,30145.0,79.95,70.0,30.0,30.0,false,,Neapolitan Pizza,116.44952978056425,less
4271016,0,true,false,32419.0,109.95,100.0,49.0,40.0,true,99.95,,,
4278170,0,true,false,27227.0,83.99,80.0,65.0,60.0,false,78.1,,,
4376259,0,true,false,34365.0,119.95,110.0,47.0,40.0,false,104.95,,,
4363890,0,true,false,15674.0,125.95,120.0,56.0,50.0,false,128.47,,,
4218282,0,true,false,38162.0,129.95,120.0,42.0,40.0,false,74.5,International Pastries,69.92777777777779,more
4361689,0,true,false,32852.0,269.95,260.0,49.0,40.0,false,299.95,Kosher,96.38633663366335,more
4232442,0,true,false,20730.0,84.95,80.0,37.0,30.0,false,88.34,,,
4233291,0,true,false,41253.0,99.95,90.0,35.0,30.0,true,99.95,,,
4259593,0,true,false,32419.0,109.95,100.0,49.0,40.0,true,102.95,,,
4246596,0,true,false,20624.0,85.95,80.0,39.0,30.0,true,99.95,,,
4213608,0,true,false,34180.0,99.95,90.0,46.0,40.0,false,99.95,,,
4194689,0,true,false,20703.0,159.99,150.0,37.0,30.0,false,58.99,Fruit Pies,74.89887550200801,more
4193778,0,true,false,24221.0,79.95,70.0,34.0,30.0,false,74.95,Chocolate Covered,60.485625000000006,more
